ID-ES,TERM-ES,INITIAL DEFINITION,QUALIFIER,FINAL DEFINITION,BiBLIOGRAPHY,SYNONYMS,ASSOCIATED TERMS,FACET,HIERARCHY (PARENT),skos:exactMatch,skos:closeMatch,"
",A MEJORAR EN LA GETTY,,,,,,,,,,
9,Aceituní ,"Color verde aceituna. Tela muy rica, de seda labrada usada en la Edad Media que se traía de Oriente. Tomó su nombre edel término ""az-zeituní"" derivado del nombre de la ciudad china de Tsen-Thung. Vestidura antigua de terciopelo de color aceituna.",tejido,"Del ár. azzaytūnī, gentilicio de zaytūn, adaptación del nombre de la ciudad china de Tsö-Thung. Tela muy rica de seda labrada usada en la Edad Media, que se traía de Oriente. Tomó su nombre del término ""az-zeituní"" derivado del nombre de la ciudad china de Tsen-Thung de donde se traía el tejido. El aceituní era un rico tejido de seda que empezó a fabricarse en China, aunque en el siglo XV ya era famoso el que se elaboraba en Italia. Se tiñó en todos los colores, pero cuando la voz cayó en desuso fue confundida con aceitunado, atribuyéndoles el color de la aceituna. Hay diversas variedades: una bordada con oro, otra semejante al terciopelo y la más lujosa de terciopelo bordado con oro.","Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004;  Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; Benito, Pilar. Paraísos de seda. Tejidos y bordados de las casas del Príncipe en los Reales Sitios de El Pardo y El Escorial. València: Universitat de València, 2015; Moliner, María. Diccionario del Uso del Español. Gredos, 2016; ",,,http://vocab.getty.edu/aat/300264090,513,,,,,,,,,,,,,,"9--Aceituní --Color verde aceituna. Tela muy rica, de seda labrada usada en la Edad Media que se traía de Oriente. Tomó su nombre edel término ""az-zeituní"" derivado del nombre de la ciudad china de Tsen-Thung. Vestidura antigua de terciopelo de color aceituna."
8,Acolchado,Tejido caracterizado por ligamentos con efectos de relieve ejecutados mediante la técnica de doble tela y el complemento de una trama de mecha insertada entre los cruzamientos del derecho y del revés.,,Tejido caracterizado por ligamentos que producen un efecto de relieve. Se ejecuta mediante la técnica de doble tela mientras se complementa con una trama de mecha insertada entre los cruzamientos del derecho y del revés,"CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004. ",,421,http://vocab.getty.edu/aat/300264090,827,,,,,,,,,,,,,,8--Acolchado--Tejido caracterizado por ligamentos con efectos de relieve ejecutados mediante la técnica de doble tela y el complemento de una trama de mecha insertada entre los cruzamientos del derecho y del revés.
10,Adamascado ,"Tejido hecho en forma de damasco o lo parece. 2. Tela de seda o también de lana peinada que, a imitación del damasco, forma por su anverso un tejido de punto de raso en el fondo y gro en la muestra, pero su reverso no forma más que un tejido de apariencia de tafetán. Etimología: Este vocablo proviene del prefijo “a” por el latín “ad” cercanía, del sustantivo “damasco” y del sufijo “ado” que indica apariencia o semejanza de.",,"Prefijo “a” por el latín “ad” cercanía, del sustantivo “damasco” y del sufijo “ado” que indica apariencia o semejanza de  tela de seda o también de lana peinada que, a imitación del damasco, forma por su anverso un tejido de punto de raso en el fondo y gro en la muestra, pero su reverso no forma más que un tejido de apariencia de tafetán. Dicho de un tejido parecido al damasco.","CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; ; Dávila Corona, R., Duran i Pujol, 
Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; «Diccionario de Autoridades(1726-1739)». Accedido 20 de noviembre de 2018. http://web.frl.es/DA.html.; «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/; Sanz, J., y R. Gallego. Diccionario del color. Madrid: Akal S.A., 2001.","damascado, damassé","168, 237, 236, 254, 124, 644","http://vocab.getty.edu/aat/300264087, http://data.silknow.org/vocabulary/facet/damasse",http://vocab.getty.edu/aat/300193855,,,,,,,,,,,,,,"10--Adamascado --Tejido hecho en forma de damasco o lo parece. 2. Tela de seda o también de lana peinada que, a imitación del damasco, forma por su anverso un tejido de punto de raso en el fondo y gro en la muestra, pero su reverso no forma más que un tejido de apariencia de tafetán. Etimología: Este vocablo proviene del prefijo “a” por el latín “ad” cercanía, del sustantivo “damasco” y del sufijo “ado” que indica apariencia o semejanza de."
,,,,,,,,,,,,,,,,,,,,,,,
12,Adúcar ,Fibra que rodea exteriormente el capullo del gusano de seda y que suele ser más basta que la fibra interior. Era habitual utilizarla para tejer galones y cintas. Tejido realizado con esta seda.,fibra,Quizá del ár. hisp. *ḥaddúqa.  Fibra que rodea exteriormente el capullo del gusano de seda y que suele ser más basta que la fibra interior.,"Benito, Pilar. Paraísos de seda. Tejidos y bordados de las casas del Príncipe en los Reales Sitios de El Pardo y El Escorial. València: Universitat de València, 2015; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/; Moliner, María. Diccionario del Uso del Español. Gredos, 2016.","atanquía, alducar","133, 14, 368",http://vocab.getty.edu/aat/300264091,"http://vocab.getty.edu/aat/300014072
",,,,,,,,,,,,,,12--Adúcar --Fibra que rodea exteriormente el capullo del gusano de seda y que suele ser más basta que la fibra interior. Era habitual utilizarla para tejer galones y cintas. Tejido realizado con esta seda.
14,Adúcar  ,,tejido,"Quizá del ár. hisp. *ḥaddúqa. Tejido de seda con ligamento tafetán y con hilos de seda adúcar u ocal extraída de los capullos ocal, es decir de aquellos que han sido formados por dos o más gusanos juntos y para los cuales se sigue el procedimiento de hilatura del filadiz. También se utiliza la borra de seda que rodea el capullo.","Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004;  Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/; «Diccionario de Autoridades(1726-1739)». Accedido 20 de noviembre de 2018. http://web.frl.es/DA.html.
",,"236, 632, 12, 216, 133",http://vocab.getty.edu/aat/300264090,827,,,,,,,,,,,,,,14--Adúcar  --
15,Afelpado ,,,"Del part. de afelpar. Adj. Todo lo que tiene apariencia de felpa. Tela peluda, hecha o tejida a semejanza de la felpa.","Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández,  Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; «Real Academia Española». Accedido 20 de noviembre de 2018 http://www.rae.es/; «Diccionario de Autoridades(1726-1739)». Accedido 20 de noviembre de 2018. http://web.frl.es/DA.html.",felpudo,"202, 379",http://vocab.getty.edu/aat/300264087,http://vocab.getty.edu/aat/300193855,,,,,,,,,,,,,,15--Afelpado --
17,Afelpar,Dar a la tela que se trabaja aspecto de felpa o terciopelo,,Vb. Dar a la tela que se trabaja aspecto de felpa. Ver felpa,"Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández,   Máximo. Diccionario histórico de telas y tejidos castellano-catalán.  Salamanca: Junta de Castilla y León, 2004; «Real Academia Española». 
Accedido 20 de noviembre de 2018 http://www.rae.es/; Moliner, M. Diccionario del Uso del Español. Gredos, 2016.",,202,http://vocab.getty.edu/aat/300264090,670,,http://vocab.getty.edu/aat/300053786,,,,,,,,,,,,17--Afelpar--Dar a la tela que se trabaja aspecto de felpa o terciopelo
18,Agremán ,"Tejido de pasamanería de seda, propio del siglo XIX, en forma de cinta, en el que se incrustan vidrios y esmaltes imitando el azabache. Se emplea para abrigos de señora y para embellecer sillerías y colgaduras",,"Del fr. agrément. Cinta de pasamanería de seda, propia del siglo XIX, en el que se incrustan vidrios y esmaltes imitando el azabache. Utilizada en vestimenta y tapicería.","Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; «Real Academia Española».
Accedido 20 de noviembre de 2018 http://www.rae.es/; Moliner, M. Diccionario del Uso del Español. Gredos, 2016.",,,http://vocab.getty.edu/aat/300264092,537,,,,,,,,,,,,,,"18--Agremán --Tejido de pasamanería de seda, propio del siglo XIX, en forma de cinta, en el que se incrustan vidrios y esmaltes imitando el azabache. Se emplea para abrigos de señora y para embellecer sillerías y colgaduras"
,,,,,,,,,,,,,,,,,,,,,,,----
20,Alberoni,"Tejido del siglo XVI hecho con hilos de oro y dibujos, que en el siglo XVIII era de seda. 2. Tela de calidad, que tenía la urdimbre de seda e hilo de oro y la trama de seda o pelo de cabra Angora, fabricada en Leiden (Holanda) en los siglos XVIII, exporttada a las colonias españolas de América.",,"Tejido del siglo XVI hecho con hilos  y dibujos de oro, que en el siglo XVIII era de seda. También tela de calidad, que tenía la urdimbre de seda e hilo de oro y la trama de seda o pelo de cabra Angora, fabricada en Leiden (Holanda) en los siglos XVIII, exportada a las colonias españolas de América.","Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014; ",,497,http://vocab.getty.edu/aat/300264090,827,,,,,,,,,,,,,,"20--Alberoni--Tejido del siglo XVI hecho con hilos de oro y dibujos, que en el siglo XVIII era de seda. 2. Tela de calidad, que tenía la urdimbre de seda e hilo de oro y la trama de seda o pelo de cabra Angora, fabricada en Leiden (Holanda) en los siglos XVIII, exporttada a las colonias españolas de América."
,,,,,,,,,,,,,,,,,,,,,,,----
,,,,,,,,,,,,,,,,,,,,,,,
23,Alcatifa ,Tapete o cubierta de seda o lana que se sirve para cubrir mesas o bancos. Alfombra árabe muy fina,,"Del ár. hisp. alqaṭífa, y este del ár. clás. qaṭīfah. Tapete o cubierta de seda o lana que se sirve para cubrir mesas o bancos. También alfombra árabe muy fina.","Terreros y Pando, Esteban. Diccionario Castellano con las voces de Ciencias y Artes, y sus correspondientes en las tres lenguas Francesa, Latina e Italiana Vol.I. Madrid: Imprenta de la viuda de Ibarra, hijos y compañía, 1786; «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/;  Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; «Diccionario de Autoridades(1726-1739)». Accedido 20 de noviembre de 2018. http://web.frl.es/DA.html; Benito, Pilar. Paraísos de seda. Tejidos y bordados de las casas del Príncipe en los Reales Sitios de El Pardo y El Escorial. València: Universitat de València, 2015.
",, 644,http://vocab.getty.edu/aat/300264090,28,,,,,,,,,,,,,,23--Alcatifa --Tapete o cubierta de seda o lana que se sirve para cubrir mesas o bancos. Alfombra árabe muy fina
25,Alepín ,,,"Del fr. alépine, y este del ár. clás. ḥalabī 'de Alepo', ciudad de Siria. Tejido fabricado originariamente en Alepo (Siria). Tejido fuerte de seda cuya trama se presentaba en la superficie principal de la tela formando líneas o rayitas longitudinales, de manera que la urdimbre sólo servía para enlazar con la trama por debajo de las rayas, de manera que apenas se aprecia por la cara del tejido. Las orillas de este tejido solían ser de gro de tours, parte de color blanco, y los hilos últimos del propio color de la pieza, que en general era negro. Europa el principal centro de producción del alepín fue Inglaterra. Hacia 1790 comenzó la fabricación y exportación del alepín francés. En España fue muy utilizado a principios del siglo XX.","Joaquín Domínguez, Ramón. Diccionario Nacional o gran diccionario clásico de la lengua española. Vol I-II. Madrid, 1849.; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004.",alepín de plata,259,http://vocab.getty.edu/aat/300264090,513,,,,,,,,,,,,,,25--Alepín --
,,,,,,,,,,,,,,,,,,,,,,,----
28,Alfombra ,"Del ár. hisp. alḥánbal 'especie de poyal o tapiz para estrados', aún muy usado en Marruecos, y este del ár. clás. ḥanbal 'pelliza usada'.
1. Tejido de lana o de otras materias, y de varios dibujos y colores, con que se cubre el piso de las habitaciones y escaleras para abrigo y adorno.
2. Tapete o paño grande con que se cubre y adorna el suelo, hecho de una pieza en telar con varías sedas, lana y oro, o cada cosa de por sí de diversos colores y labores. Sirve ordinariamente para ornamento de los estrados, y de los Templos. Muchos escriben esta voz con h, diciendo Alhombra. Segun Covarr. es voz Arábiga",,"Del ár. hisp. alḥánbal 'especie de poyal o tapiz para estrados', aún muy usado en Marruecos, y este del ár. clás. ḥanbal 'pelliza usada'.
Del árabe aljombra, esterilla. Tejido de lana u otras materias textiles, y de varios dibujos y colores,  con el que se cubre el suelo de las habitaciones para abrigo y adorno. Generalmente, es de superficie aterciopelada y precisa de telar y ligamentos especiales para fabricarlo. Denominación genérica que se da a todos los tejidos que tienen este uso.","Dávila Corona, R.osa Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; «Diccionario de Autoridades(1726-1739)». Accedido 20 de noviembre de 2018. http://web.frl.es/DA.html; Castany Saládrigas, Francisco Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/.",tapete,644,http://vocab.getty.edu/aat/300264090,827,,http://vocab.getty.edu/aat/300185756,,,,,,,,,,,,"28--Alfombra --Del ár. hisp. alḥánbal 'especie de poyal o tapiz para estrados', aún muy usado en Marruecos, y este del ár. clás. ḥanbal 'pelliza usada'.
1. Tejido de lana o de otras materias, y de varios dibujos y colores, con que se cubre el piso de las habitaciones y escaleras para abrigo y adorno.
2. Tapete o paño grande con que se cubre y adorna el suelo, hecho de una pieza en telar con varías sedas, lana y oro, o cada cosa de por sí de diversos colores y labores. Sirve ordinariamente para ornamento de los estrados, y de los Templos. Muchos escriben esta voz con h, diciendo Alhombra. Segun Covarr. es voz Arábiga"
29,Alma ,Hilo a cuyo alrededor va enrollado otro hilo,,"Del lat. anĭma. Alma se refiere al hilo que constituye la parte interna de otro hilo de composición diferente, normalmente metálico, que lo cubre o envuelve.","«Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/; CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; Benito, Pilar. Paraísos de seda. Tejidos y bordados de las casas del Príncipe en los Reales Sitios de El Pardo y El Escorial. València: Universitat de València, 2015.",,,http://vocab.getty.edu/aat/300264091,268,,,,,,,,,,,,,,29--Alma --Hilo a cuyo alrededor va enrollado otro hilo
,,,,,,,,,,,,,,,,,,,,,,,----
32,Anafaya ,Del árabe annafaya. Tejido fino que se tejía en algodón o seda y que posteriormente se imitó en seda. Ligamento tafertán,,Del árabe annafaya. Tejido fino que se tejía en algodón o seda y que posteriormente se imitó en seda.,"Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004;  «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/;Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949.
",anafalla,,http://vocab.getty.edu/aat/300264090,827,,,,,,,,,,,,,,32--Anafaya --Del árabe annafaya. Tejido fino que se tejía en algodón o seda y que posteriormente se imitó en seda. Ligamento tafertán
36,Anascote ,Tela de seda parecida a la sarga,,"Del fr. ant. anascot, y este de Hondschoote, ciudad flamenca. Tela de seda parecida a la sarga batavia de cuatro, artículo muy parecido a la surá de seda","CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; Dávila Corona, Rosa., Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; Benito, Pilar. Paraísos de seda. Tejidos y bordados de las casas del Príncipe en los Reales Sitios de El Pardo y El Escorial. València: Universitat de València, 2015; «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/; Congosto, Yolanda. Aportación a La Historia Lingüística de Las Hablas Andaluzas (Siglo XVII): Descripción de Una Sincronía. Sevilla: Universidad de Sevilla, 2002.",,"238, 62, 13",http://vocab.getty.edu/aat/300264090,827,,,,,,,,,,,,,,36--Anascote --Tela de seda parecida a la sarga
99,Ancho casulla,,,"Se dice del ancho de un tejido de entre 50 y 54 cm, hecho un telar Jacquard. Su nombre se debe a que estos tejidos se empleaban generalmente para indumentaria religiosa y coincidían con el ancho de del tejido empleado  en las casullas. Las dimensiones de las casullas fueron variando pero permaneció esta denominación para este tipo de tejidos.",,,"447, 66",http://vocab.getty.edu/aat/300264087,642,,,,,,,,,,,,,,99--Ancho casulla--
66,Ancho de tela,Anchura o ancho es palabra genérica que indica la latitud de una superficie,,"Anchura o ancho es palabra genérica que indica, en un tejido, su dimensión considerada de derecha a izquierda o de izquierda a derecha, en contraposición a la considerada de arriba abajo o de abajo arriba.","CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/; Boccherini,Tamara,  Marabelli, Paola. Atlante di Storia del Tessuto, Itinerario nell'arte tessile dall'antichità al Déco, Firenze, 1995; Hollen, Norma, and Jane Saddler. Introducción a Los Textiles. México: Editorial Limusa, 2002.",,99,http://vocab.getty.edu/aat/300264087,642,,,,,,,,,,,,,,66--Ancho de tela--Anchura o ancho es palabra genérica que indica la latitud de una superficie
